sleep,stress,mood,energy,screen_time,activity_minutes,connectedness,activity,hour,day_type,best_nudge
7.51,3,2,3,4.59,49,4,Working,15,Weekday,Take a short break
6.59,3,3,2,5.95,42,3,Studying,21,Weekday,Reduce screen time
7.51,4,3,3,1.89,55,3,Exercise,11,Weekend,Maintain habits
9.28,3,3,3,4.16,67,1,Exercise,11,Weekend,Maintain habits
8.27,1,4,4,1.68,61,4,Relaxing,14,Weekday,Maintain habits
8.46,3,3,2,5.7,75,2,Relaxing,8,Weekend,Maintain habits
8.51,3,3,4,6.95,32,3,Exercise,8,Weekend,Maintain habits
6.48,3,3,3,5.01,140,2,Phone,6,Weekday,Prepare for bed
9.05,1,5,2,2.35,65,4,Studying,10,Weekday,Maintain habits
7.02,2,3,3,3.96,10,5,Relaxing,18,Weekday,Stay active
8.89,2,2,5,4.22,103,3,Working,11,Weekend,Prepare for bed
9.88,2,3,3,4.82,39,3,Studying,14,Weekend,Stay active
6.61,4,2,2,2.86,29,3,Studying,19,Weekday,Prepare for bed
6.61,3,3,3,4.55,88,3,Phone,7,Weekend,Reduce screen time
8.25,4,4,2,4.95,126,3,Exercise,11,Weekend,Prepare for bed
7.43,4,3,3,4.67,75,5,Relaxing,23,Weekday,Maintain habits
7.82,3,2,2,3.17,26,5,Working,17,Weekday,Take a short break
7.24,3,3,2,7.81,15,3,Phone,18,Weekend,Stay active
7.46,3,4,4,4.37,149,1,Phone,16,Weekend,Stay active
6.96,4,2,2,1.87,55,3,Studying,22,Weekday,Prepare for bed
8.3,4,3,3,3.72,11,2,Phone,10,Weekday,Stay active
8.14,3,4,3,7.09,22,3,Phone,8,Weekday,Stay active
7.48,4,3,3,6.46,26,3,Phone,20,Weekday,Stay active
10.29,2,4,4,4.41,32,3,Studying,6,Weekday,Stay active
8.75,2,4,3,6.23,1,5,Phone,17,Weekday,Stay active
6.55,4,3,1,4.88,35,5,Relaxing,6,Weekday,Stay active
7.17,4,3,4,2.87,50,3,Working,14,Weekday,Take a short break
9.34,2,5,4,2.57,27,3,Studying,18,Weekday,Maintain habits
6.85,2,4,4,2.94,55,4,Exercise,17,Weekday,Maintain habits
10.9,1,5,4,4.36,106,5,Studying,17,Weekend,Maintain habits
7.63,3,3,3,4.42,89,4,Exercise,10,Weekday,Take a short break
8.21,3,3,4,6.29,34,2,Phone,13,Weekday,Reduce screen time
7.42,3,4,2,7.49,16,4,Phone,19,Weekday,Prepare for bed
5.81,4,3,3,5.93,29,3,Studying,7,Weekday,Maintain habits
8.31,3,3,4,5.19,108,3,Exercise,17,Weekday,Take a short break
6.72,2,2,4,4.47,20,5,Exercise,16,Weekday,Maintain habits
7.73,3,4,3,3.52,96,4,Studying,14,Weekday,Maintain habits
8.68,3,4,3,3.94,78,5,Relaxing,14,Weekday,Connect socially
7.73,2,3,4,4.05,43,1,Phone,20,Weekday,Prepare for bed
6.17,2,4,2,1.58,77,4,Working,15,Weekday,Prepare for bed
7.54,2,3,4,7.22,133,3,Phone,9,Weekend,Maintain habits
5.9,4,2,2,4.07,20,3,Working,22,Weekend,Prepare for bed
6.8,4,2,2,4.93,24,4,Phone,10,Weekday,Prepare for bed
7.54,2,3,3,4.3,31,4,Working,20,Weekday,Prepare for bed
7.51,3,3,3,3.98,13,3,Studying,6,Weekday,Maintain habits
7.49,2,4,3,3.13,15,5,Working,14,Weekday,Stay active
7.16,3,3,3,3.68,57,4,Phone,16,Weekday,Take a short break
7.55,2,2,3,1.31,41,3,Studying,7,Weekday,Take a short break
6.47,4,2,2,4.35,117,1,Studying,19,Weekday,Connect socially
6.59,3,2,2,7.08,38,3,Phone,12,Weekday,Reduce screen time
6.65,3,4,3,4.48,53,3,Studying,17,Weekday,Take a short break
11.26,1,4,5,3.52,150,3,Phone,20,Weekend,Connect socially
8.78,3,3,4,3.66,77,1,Studying,17,Weekend,Connect socially
9.56,3,3,3,4.53,10,4,Studying,16,Weekday,Maintain habits
6.71,2,3,4,4.96,56,4,Studying,14,Weekday,Reduce screen time
6.41,4,1,3,3.03,49,4,Studying,8,Weekday,Maintain habits
6.64,4,3,3,3.83,52,4,Phone,21,Weekend,Reduce screen time
6.56,4,3,2,2.79,35,2,Studying,17,Weekday,Take a short break
6.62,3,4,3,4.47,147,3,Working,18,Weekday,Stay active
6.83,4,3,2,2.25,19,4,Relaxing,15,Weekday,Prepare for bed
7.53,4,3,1,4.09,18,3,Phone,14,Weekend,Connect socially
7.77,2,3,3,4.78,19,3,Phone,8,Weekday,Prepare for bed
8.11,4,2,3,6.05,68,3,Relaxing,10,Weekday,Take a short break
8.1,3,3,3,3.04,75,4,Studying,15,Weekday,Stay active
10.34,2,5,4,5.63,31,1,Phone,12,Weekday,Connect socially
7.12,3,2,4,3.12,43,1,Phone,8,Weekday,Stay active
9.38,3,2,4,3.07,82,3,Exercise,17,Weekday,Reduce screen time
8.42,3,3,3,1.63,0,3,Studying,16,Weekday,Maintain habits
8.45,4,3,3,5.2,10,3,Phone,15,Weekday,Stay active
7.73,3,3,4,3.0,61,4,Studying,19,Weekday,Prepare for bed
8.02,3,4,3,5.38,70,5,Phone,17,Weekend,Maintain habits
9.33,2,2,4,3.63,52,2,Phone,6,Weekday,Stay active
9.63,3,4,5,5.23,115,3,Exercise,19,Weekday,Prepare for bed
7.57,3,4,3,3.31,124,5,Studying,16,Weekday,Take a short break
7.19,3,4,3,3.59,54,5,Relaxing,16,Weekday,Prepare for bed
7.04,3,4,2,2.93,159,3,Exercise,21,Weekday,Prepare for bed
8.25,2,3,3,5.08,100,4,Phone,9,Weekend,Prepare for bed
6.13,4,3,2,5.52,33,2,Phone,17,Weekday,Prepare for bed
6.03,4,3,2,4.34,16,4,Phone,13,Weekend,Take a short break
6.97,3,3,2,3.71,40,5,Relaxing,7,Weekday,Connect socially
6.82,4,3,3,4.75,2,3,Studying,15,Weekday,Maintain habits
6.69,3,3,3,6.01,35,2,Studying,13,Weekday,Connect socially
7.56,4,1,3,6.21,14,2,Phone,6,Weekday,Connect socially
8.34,5,4,3,5.39,44,3,Phone,16,Weekday,Take a short break
7.81,3,4,3,5.28,152,3,Studying,13,Weekday,Reduce screen time
8.16,4,3,4,3.24,7,3,Phone,15,Weekday,Connect socially
7.18,3,3,3,5.85,18,3,Relaxing,6,Weekday,Maintain habits
7.61,3,3,3,3.88,41,4,Exercise,15,Weekday,Maintain habits
9.21,1,4,4,2.87,111,5,Exercise,16,Weekend,Prepare for bed
6.34,4,2,3,3.82,10,3,Studying,16,Weekday,Reduce screen time
7.54,3,3,2,5.2,45,4,Studying,19,Weekday,Take a short break
7.57,2,3,5,3.47,72,3,Studying,23,Weekday,Prepare for bed
6.98,4,3,3,5.0,60,4,Phone,7,Weekday,Reduce screen time
7.53,2,3,3,4.3,55,4,Exercise,15,Weekday,Maintain habits
8.29,4,3,3,5.3,0,4,Relaxing,20,Weekday,Connect socially
6.48,3,2,3,2.26,61,2,Studying,18,Weekday,Connect socially
8.88,1,4,4,3.93,12,4,Relaxing,23,Weekend,Stay active
8.14,3,3,3,6.0,47,2,Phone,19,Weekday,Connect socially
5.42,3,3,2,6.14,36,4,Relaxing,19,Weekday,Prepare for bed
6.39,2,4,4,3.13,64,5,Studying,8,Weekday,Maintain habits
8.19,3,2,2,5.74,111,3,Exercise,13,Weekday,Connect socially
9.1,2,4,4,3.76,58,5,Exercise,17,Weekday,Maintain habits
7.62,3,4,3,1.94,115,4,Studying,16,Weekday,Take a short break
7.4,3,4,3,4.71,30,4,Working,19,Weekday,Take a short break
7.2,4,2,2,4.84,7,1,Phone,23,Weekday,Reduce screen time
8.17,3,3,3,2.81,37,1,Relaxing,11,Weekday,Connect socially
7.06,4,3,4,2.35,2,5,Studying,15,Weekend,Take a short break
7.95,3,2,3,3.66,60,4,Exercise,21,Weekday,Take a short break
6.98,3,3,3,4.46,58,3,Exercise,20,Weekday,Prepare for bed
6.28,4,3,2,4.89,45,1,Studying,20,Weekend,Prepare for bed
6.57,4,2,3,4.71,15,2,Phone,18,Weekday,Take a short break
6.92,3,3,2,2.37,61,4,Working,23,Weekday,Prepare for bed
6.9,2,3,3,5.62,132,2,Studying,14,Weekend,Reduce screen time
9.84,1,3,3,5.44,9,3,Phone,9,Weekend,Reduce screen time
7.01,3,4,3,0.0,83,4,Studying,10,Weekday,Take a short break
6.17,3,3,3,3.29,16,3,Studying,15,Weekday,Stay active
9.12,3,3,4,5.08,46,3,Studying,20,Weekend,Take a short break
6.18,4,2,2,5.89,19,1,Studying,16,Weekday,Stay active
6.32,3,4,3,6.56,85,3,Phone,17,Weekend,Reduce screen time
9.47,4,3,3,5.37,68,4,Phone,14,Weekend,Take a short break
7.3,3,2,2,3.23,61,2,Relaxing,19,Weekend,Maintain habits
8.27,3,3,2,5.5,67,3,Studying,10,Weekday,Maintain habits
9.08,4,2,3,5.07,1,3,Studying,16,Weekday,Connect socially
5.65,4,2,3,3.86,34,4,Exercise,11,Weekday,Prepare for bed
6.46,3,3,2,4.25,47,3,Exercise,16,Weekday,Connect socially
7.27,2,4,3,5.07,85,5,Phone,15,Weekday,Reduce screen time
9.16,2,3,4,3.38,37,3,Relaxing,17,Weekend,Maintain habits
8.0,3,3,3,4.47,81,1,Phone,16,Weekday,Maintain habits
7.61,4,2,2,4.91,82,1,Relaxing,23,Weekday,Connect socially
7.92,1,3,3,4.99,40,5,Phone,21,Weekday,Reduce screen time
6.64,4,2,3,5.24,1,1,Phone,13,Weekday,Reduce screen time
8.04,3,2,3,2.52,29,4,Exercise,9,Weekday,Stay active
7.17,4,3,1,5.29,25,5,Working,8,Weekday,Prepare for bed
8.56,1,3,4,4.84,28,4,Studying,11,Weekend,Maintain habits
6.76,3,2,2,1.95,95,3,Exercise,12,Weekday,Take a short break
7.38,3,4,2,4.38,39,2,Studying,21,Weekday,Take a short break
6.48,4,3,3,5.0,33,2,Phone,22,Weekday,Stay active
7.58,5,3,2,6.35,38,3,Studying,12,Weekday,Take a short break
7.61,4,2,2,3.41,58,3,Relaxing,19,Weekend,Take a short break
7.42,3,3,3,3.62,43,3,Relaxing,20,Weekend,Prepare for bed
7.42,2,4,3,2.62,88,3,Studying,14,Weekday,Maintain habits
6.02,3,3,2,7.25,31,4,Studying,21,Weekend,Stay active
8.45,4,2,3,5.94,145,2,Studying,23,Weekday,Reduce screen time
6.19,3,3,3,5.23,26,3,Studying,23,Weekday,Maintain habits
7.26,2,4,3,4.64,39,4,Phone,19,Weekend,Reduce screen time
6.62,3,3,2,2.56,26,5,Phone,14,Weekday,Take a short break
5.39,3,4,3,3.14,40,4,Relaxing,12,Weekday,Prepare for bed
8.26,3,4,4,1.04,37,5,Relaxing,23,Weekday,Maintain habits
7.41,2,3,2,2.1,30,4,Studying,13,Weekday,Take a short break
7.41,2,4,3,2.95,18,5,Studying,15,Weekday,Prepare for bed
9.36,3,4,3,4.25,1,5,Working,12,Weekday,Reduce screen time
6.69,3,3,4,5.34,75,4,Phone,16,Weekday,Maintain habits
5.49,4,3,2,4.63,29,4,Working,9,Weekday,Take a short break
8.39,3,3,3,5.95,25,3,Studying,20,Weekend,Take a short break
8.0,4,2,4,3.31,40,5,Studying,16,Weekday,Take a short break
5.51,3,3,3,3.52,19,4,Phone,15,Weekend,Connect socially
5.67,3,3,2,1.73,114,5,Exercise,14,Weekday,Maintain habits
7.96,4,2,3,2.96,0,2,Phone,17,Weekday,Connect socially
7.18,3,3,3,5.89,86,3,Phone,19,Weekday,Maintain habits
8.76,4,4,2,2.55,94,2,Studying,21,Weekend,Prepare for bed
7.43,3,3,3,1.24,53,5,Relaxing,20,Weekday,Stay active
8.2,2,4,3,4.48,72,4,Relaxing,15,Weekend,Take a short break
7.82,2,3,3,3.26,45,4,Studying,20,Weekday,Maintain habits
7.45,3,4,2,3.71,120,3,Studying,17,Weekday,Maintain habits
7.05,2,3,4,4.01,87,1,Studying,18,Weekday,Connect socially
6.61,3,3,3,3.38,65,5,Phone,18,Weekday,Maintain habits
8.37,3,3,3,6.38,12,3,Studying,15,Weekday,Connect socially
9.38,2,3,4,2.81,44,2,Studying,16,Weekday,Connect socially
8.28,5,3,4,0.93,76,4,Working,18,Weekday,Take a short break
6.57,5,2,1,5.85,58,2,Relaxing,13,Weekday,Stay active
6.25,4,4,2,4.62,80,2,Exercise,19,Weekday,Take a short break
5.89,2,4,3,1.38,50,3,Studying,14,Weekday,Prepare for bed
7.21,2,5,3,1.87,15,3,Relaxing,17,Weekday,Take a short break
7.44,3,3,3,6.16,120,5,Exercise,20,Weekday,Maintain habits
6.88,1,4,3,2.67,120,5,Studying,7,Weekday,Maintain habits
8.39,2,4,3,1.97,89,3,Studying,12,Weekday,Maintain habits
7.14,3,2,4,5.3,80,2,Relaxing,17,Weekday,Connect socially
7.85,3,3,3,6.49,49,3,Working,9,Weekend,Prepare for bed
6.39,4,3,2,1.74,80,3,Exercise,11,Weekday,Take a short break
8.13,4,2,2,4.57,20,4,Working,19,Weekday,Stay active
7.48,3,3,3,4.7,240,2,Exercise,7,Weekend,Connect socially
4.68,3,3,4,3.6,61,2,Phone,17,Weekday,Connect socially
8.41,2,4,3,3.49,31,2,Relaxing,7,Weekday,Maintain habits
6.53,4,3,2,3.29,40,2,Phone,9,Weekend,Connect socially
6.56,4,3,3,4.69,86,1,Phone,15,Weekend,Connect socially
6.39,4,1,1,6.68,36,3,Phone,22,Weekend,Reduce screen time
7.82,2,3,4,4.21,62,5,Working,17,Weekday,Maintain habits
6.16,3,2,4,3.05,41,4,Studying,13,Weekday,Reduce screen time
8.12,4,2,3,5.02,73,2,Phone,15,Weekend,Reduce screen time
7.68,4,4,4,1.13,63,2,Working,17,Weekend,Stay active
7.63,4,3,4,2.7,76,3,Studying,18,Weekday,Take a short break
8.92,4,3,4,6.71,22,3,Studying,13,Weekday,Reduce screen time
8.68,2,4,3,4.17,115,3,Studying,11,Weekday,Maintain habits
7.3,4,3,2,5.22,45,4,Exercise,16,Weekday,Connect socially
9.66,2,4,4,2.47,58,5,Relaxing,18,Weekday,Stay active
7.02,3,3,3,2.72,13,2,Studying,20,Weekday,Prepare for bed
6.1,3,3,2,2.92,27,1,Relaxing,17,Weekday,Connect socially
5.93,4,2,2,4.06,54,2,Exercise,18,Weekday,Connect socially
7.91,3,4,3,5.99,54,3,Studying,16,Weekday,Connect socially
6.08,3,1,2,5.95,31,2,Phone,17,Weekday,Connect socially
7.77,3,3,3,4.8,38,3,Phone,18,Weekday,Maintain habits
8.16,3,3,3,4.45,40,3,Relaxing,12,Weekday,Stay active
8.12,3,2,4,6.09,162,2,Exercise,22,Weekend,Connect socially
7.4,3,3,3,3.63,29,5,Phone,14,Weekday,Prepare for bed
7.43,4,2,3,6.44,43,4,Studying,17,Weekday,Reduce screen time
6.91,2,3,3,5.84,4,3,Phone,17,Weekday,Connect socially
8.54,2,3,3,6.06,59,5,Studying,20,Weekday,Reduce screen time
7.94,2,3,3,3.96,100,3,Exercise,9,Weekday,Connect socially
6.35,2,3,3,6.36,72,4,Relaxing,21,Weekday,Maintain habits
4.9,5,3,1,4.47,35,4,Exercise,10,Weekday,Stay active
9.05,3,2,3,4.99,21,2,Studying,10,Weekday,Connect socially
8.29,2,2,3,4.62,65,4,Relaxing,20,Weekday,Stay active
8.36,2,3,3,3.93,96,3,Exercise,12,Weekday,Maintain habits
5.99,2,3,2,2.96,10,3,Relaxing,18,Weekday,Connect socially
6.29,2,3,3,3.37,46,5,Exercise,16,Weekday,Maintain habits
8.03,4,2,3,6.34,13,3,Phone,22,Weekday,Maintain habits
7.03,5,3,3,4.14,52,5,Phone,19,Weekday,Prepare for bed
7.18,4,2,3,5.33,43,4,Phone,14,Weekday,Stay active
8.72,3,4,3,4.26,50,3,Exercise,20,Weekday,Connect socially
7.44,2,3,3,1.88,71,4,Phone,12,Weekday,Maintain habits
8.13,3,3,3,1.99,68,2,Relaxing,18,Weekend,Maintain habits
8.9,1,5,3,5.89,62,3,Studying,19,Weekend,Connect socially
6.88,3,3,2,5.88,37,1,Relaxing,18,Weekend,Connect socially
7.64,3,3,3,4.46,7,2,Relaxing,18,Weekday,Stay active
9.4,2,4,4,3.55,47,3,Studying,20,Weekday,Take a short break
8.57,2,3,4,4.39,13,2,Phone,17,Weekday,Prepare for bed
6.92,3,2,3,3.17,101,5,Working,22,Weekday,Maintain habits
7.55,2,3,3,2.71,83,4,Exercise,10,Weekday,Take a short break
6.59,5,2,3,4.65,14,1,Phone,14,Weekday,Connect socially
7.21,2,3,2,7.32,12,2,Phone,19,Weekday,Maintain habits
6.8,3,4,3,3.19,50,5,Exercise,13,Weekday,Maintain habits
7.19,2,3,3,4.72,138,1,Phone,15,Weekday,Maintain habits
8.81,3,4,3,2.59,72,5,Phone,19,Weekend,Maintain habits
6.51,2,3,2,2.53,123,3,Exercise,17,Weekday,Maintain habits
9.12,3,4,3,3.61,12,3,Relaxing,11,Weekend,Stay active
9.18,3,2,3,4.79,21,1,Phone,11,Weekday,Connect socially
5.76,2,4,3,3.28,145,3,Exercise,13,Weekday,Reduce screen time
7.51,3,3,5,1.21,124,4,Relaxing,13,Weekday,Maintain habits
7.51,3,2,3,5.11,63,3,Phone,10,Weekday,Reduce screen time
8.05,2,4,2,4.51,93,5,Studying,20,Weekday,Maintain habits
7.47,2,2,3,6.1,68,3,Exercise,13,Weekday,Reduce screen time
7.26,3,3,3,3.69,21,4,Relaxing,20,Weekday,Prepare for bed
9.14,3,4,4,4.01,80,4,Working,23,Weekday,Maintain habits
8.77,2,3,3,3.42,41,3,Studying,14,Weekday,Reduce screen time
7.59,3,3,3,4.93,185,4,Phone,23,Weekend,Take a short break
7.53,4,2,2,4.38,26,4,Working,11,Weekday,Take a short break
7.99,3,2,3,6.11,45,5,Phone,18,Weekday,Prepare for bed
6.03,3,2,3,4.85,42,1,Relaxing,23,Weekday,Reduce screen time
8.21,4,2,3,3.48,121,4,Phone,20,Weekday,Take a short break
5.77,3,3,3,3.73,16,4,Phone,12,Weekday,Maintain habits
8.29,1,3,2,3.97,48,4,Phone,12,Weekday,Maintain habits
7.47,1,3,4,2.88,99,5,Relaxing,12,Weekend,Maintain habits
6.27,3,3,3,3.25,75,1,Studying,22,Weekday,Take a short break
7.66,2,4,3,2.29,10,4,Studying,12,Weekday,Take a short break
7.55,3,2,3,5.11,43,3,Studying,16,Weekday,Maintain habits
5.96,3,3,3,3.66,38,3,Working,14,Weekend,Prepare for bed
5.97,3,3,1,3.69,62,2,Exercise,14,Weekend,Take a short break
7.71,2,3,3,5.64,82,3,Studying,15,Weekend,Maintain habits
5.38,4,2,3,4.12,63,3,Phone,14,Weekday,Prepare for bed
6.81,3,3,3,4.22,65,3,Exercise,17,Weekday,Connect socially
8.22,4,3,3,5.78,43,3,Studying,15,Weekday,Prepare for bed
8.37,3,3,4,2.18,23,1,Working,15,Weekend,Take a short break
6.78,3,3,3,5.21,90,2,Phone,16,Weekday,Maintain habits
6.91,3,4,3,4.88,54,3,Exercise,14,Weekday,Connect socially
7.84,3,3,4,3.42,69,3,Exercise,19,Weekday,Maintain habits
6.68,2,4,3,2.44,39,1,Studying,16,Weekday,Connect socially
5.5,4,1,2,5.02,22,3,Phone,16,Weekday,Stay active
6.65,4,2,3,6.75,16,3,Phone,11,Weekday,Connect socially
7.79,1,2,4,2.47,123,2,Studying,7,Weekday,Connect socially
6.46,3,5,3,5.15,35,2,Studying,20,Weekend,Take a short break
8.37,4,4,3,3.18,17,1,Studying,20,Weekday,Connect socially
7.13,4,2,2,6.06,54,3,Working,12,Weekend,Reduce screen time
9.47,2,3,4,4.28,116,4,Phone,14,Weekday,Maintain habits
7.43,3,2,3,3.21,148,2,Phone,14,Weekend,Reduce screen time
8.67,3,3,3,3.68,66,3,Exercise,18,Weekday,Take a short break
7.91,4,3,3,2.6,72,5,Studying,11,Weekend,Take a short break
5.79,2,3,2,3.89,42,5,Exercise,23,Weekday,Prepare for bed
7.58,3,3,3,4.1,183,3,Working,8,Weekday,Prepare for bed
5.91,4,2,2,5.34,8,3,Phone,23,Weekday,Take a short break
5.74,4,2,1,4.9,23,5,Working,8,Weekday,Take a short break
8.18,4,3,3,5.59,116,1,Exercise,13,Weekday,Connect socially
8.28,3,3,2,3.2,110,3,Relaxing,12,Weekend,Stay active
7.19,3,2,3,4.27,28,3,Studying,12,Weekend,Stay active
7.2,3,3,3,5.28,73,2,Phone,23,Weekday,Prepare for bed
7.0,4,3,3,4.79,44,5,Studying,16,Weekday,Take a short break
6.68,2,5,3,6.26,4,3,Phone,9,Weekday,Connect socially
7.27,2,4,4,4.14,10,5,Studying,23,Weekend,Prepare for bed
7.73,4,3,3,2.14,40,3,Exercise,12,Weekend,Maintain habits
7.05,4,2,3,4.53,40,2,Relaxing,8,Weekday,Connect socially
7.59,4,3,3,4.15,52,5,Relaxing,7,Weekend,Maintain habits
7.57,3,2,3,6.06,56,3,Studying,16,Weekday,Prepare for bed
9.13,3,3,3,5.21,17,4,Phone,21,Weekend,Stay active
9.28,4,2,2,4.95,36,3,Phone,6,Weekend,Stay active
8.12,3,4,3,3.68,58,2,Relaxing,19,Weekday,Reduce screen time
7.93,3,3,3,1.13,108,4,Studying,12,Weekday,Take a short break
6.84,3,3,2,3.64,60,3,Studying,12,Weekday,Reduce screen time
6.32,4,3,2,4.45,1,5,Phone,18,Weekday,Reduce screen time
7.73,2,3,4,1.07,26,3,Studying,19,Weekend,Maintain habits
7.61,4,3,3,5.08,60,3,Phone,17,Weekday,Maintain habits
6.72,3,1,2,4.78,16,4,Phone,11,Weekday,Reduce screen time
6.27,3,3,3,0.97,138,3,Exercise,6,Weekend,Prepare for bed
8.6,3,4,4,3.05,35,2,Relaxing,19,Weekday,Maintain habits
7.18,3,3,3,4.66,123,2,Exercise,17,Weekday,Maintain habits
8.52,4,4,3,2.76,70,4,Exercise,15,Weekday,Maintain habits
7.21,3,3,3,3.23,10,2,Working,11,Weekday,Maintain habits
8.37,4,3,3,3.29,25,4,Studying,19,Weekday,Take a short break
7.83,3,3,2,5.03,68,5,Studying,8,Weekday,Take a short break
8.49,3,3,3,6.83,60,2,Phone,18,Weekday,Connect socially
8.08,3,3,3,5.26,69,3,Relaxing,18,Weekday,Connect socially
7.19,3,2,4,4.45,92,3,Relaxing,12,Weekday,Prepare for bed
7.34,3,3,1,5.92,37,3,Studying,16,Weekday,Take a short break
9.15,3,4,2,2.44,104,4,Studying,16,Weekday,Maintain habits
7.06,3,3,2,6.48,6,5,Phone,17,Weekday,Maintain habits
7.81,4,2,3,6.17,90,5,Phone,21,Weekday,Prepare for bed
8.45,3,3,4,1.24,57,3,Studying,17,Weekend,Take a short break
8.07,4,3,3,4.07,154,2,Exercise,8,Weekday,Connect socially
7.15,4,3,2,7.7,40,2,Phone,14,Weekday,Stay active
8.99,2,3,4,4.62,86,3,Exercise,18,Weekend,Maintain habits
7.41,3,5,2,5.82,88,3,Studying,14,Weekday,Prepare for bed
5.55,2,3,2,4.3,56,4,Studying,19,Weekday,Prepare for bed
7.43,3,4,2,4.42,18,3,Phone,11,Weekday,Reduce screen time
7.72,4,4,2,4.67,96,1,Phone,10,Weekday,Maintain habits
7.02,3,3,3,4.16,42,4,Studying,12,Weekday,Prepare for bed
7.92,2,4,3,3.48,64,3,Working,21,Weekend,Connect socially
8.03,4,3,1,4.49,23,5,Studying,18,Weekend,Take a short break
8.51,2,3,3,4.21,50,4,Studying,16,Weekday,Prepare for bed
7.79,4,3,2,5.26,81,3,Phone,13,Weekday,Take a short break
9.04,4,3,2,7.42,76,2,Phone,21,Weekday,Connect socially
6.39,2,3,1,5.43,62,3,Relaxing,21,Weekday,Take a short break
6.65,1,4,3,4.13,0,3,Working,15,Weekday,Maintain habits
8.03,2,3,3,5.03,61,4,Phone,19,Weekday,Prepare for bed
8.59,2,4,3,6.07,40,4,Relaxing,21,Weekend,Maintain habits
8.35,3,4,3,4.63,45,5,Phone,13,Weekday,Take a short break
7.01,3,4,3,2.19,74,4,Relaxing,14,Weekday,Connect socially
6.49,4,2,2,3.55,16,3,Studying,17,Weekday,Stay active
7.02,3,4,3,4.61,60,3,Relaxing,15,Weekday,Maintain habits
5.47,3,3,2,4.55,73,3,Phone,19,Weekend,Connect socially
8.3,3,4,2,3.84,26,3,Relaxing,17,Weekday,Take a short break
6.74,3,2,2,4.49,39,2,Relaxing,11,Weekday,Prepare for bed
7.01,4,2,2,5.23,43,3,Phone,14,Weekend,Connect socially
8.04,3,3,3,3.09,5,4,Phone,18,Weekend,Prepare for bed
8.74,4,2,4,3.78,19,1,Relaxing,8,Weekday,Maintain habits
7.99,3,3,3,3.64,40,3,Studying,14,Weekday,Maintain habits
7.6,2,3,4,3.01,93,2,Relaxing,6,Weekend,Take a short break
8.54,3,3,3,5.44,49,4,Phone,20,Weekend,Connect socially
7.82,3,3,3,4.39,68,3,Phone,9,Weekday,Take a short break
9.6,3,3,4,3.09,61,3,Relaxing,8,Weekend,Maintain habits
8.49,3,4,3,4.2,81,4,Phone,19,Weekday,Maintain habits
7.02,3,3,2,3.77,10,3,Phone,9,Weekday,Stay active
7.94,3,2,2,5.43,32,3,Phone,18,Weekend,Take a short break
7.57,3,4,2,2.7,93,3,Relaxing,15,Weekday,Connect socially
5.35,4,3,2,3.48,44,5,Studying,20,Weekday,Take a short break
4.71,4,2,2,3.66,56,3,Studying,11,Weekend,Take a short break
8.04,3,4,3,1.77,20,3,Working,9,Weekend,Stay active
8.72,3,4,3,3.2,30,4,Studying,12,Weekend,Take a short break
10.27,1,5,4,4.19,93,3,Phone,22,Weekday,Stay active
7.76,3,3,3,4.8,117,5,Phone,20,Weekend,Maintain habits
7.08,4,4,1,6.64,45,2,Phone,13,Weekday,Connect socially
8.61,4,3,3,3.32,240,5,Exercise,11,Weekday,Take a short break
6.25,4,2,2,3.91,42,4,Relaxing,10,Weekday,Prepare for bed
9.88,3,3,4,4.12,117,3,Relaxing,12,Weekend,Maintain habits
6.95,4,3,3,4.29,54,4,Relaxing,11,Weekend,Maintain habits
8.35,3,3,4,5.84,34,2,Phone,21,Weekend,Stay active
7.46,2,4,3,2.82,71,3,Relaxing,7,Weekday,Maintain habits
5.96,4,3,1,4.08,15,2,Studying,21,Weekday,Stay active
6.92,3,3,3,2.38,117,3,Relaxing,7,Weekday,Maintain habits
6.31,3,3,2,3.83,57,3,Exercise,20,Weekday,Take a short break
6.85,1,3,3,3.4,33,5,Studying,15,Weekday,Stay active
8.51,2,3,3,5.28,18,3,Working,8,Weekday,Stay active
5.95,3,3,2,4.72,64,4,Studying,20,Weekend,Take a short break
5.22,5,1,1,6.32,51,3,Exercise,12,Weekday,Connect socially
7.8,3,3,3,5.99,39,4,Phone,21,Weekend,Connect socially
6.0,5,3,1,6.55,30,2,Studying,19,Weekday,Take a short break
8.14,3,3,4,5.93,35,2,Exercise,23,Weekday,Prepare for bed
7.32,3,2,3,4.35,52,3,Phone,20,Weekday,Stay active
8.3,3,3,3,5.4,20,5,Studying,12,Weekday,Stay active
5.46,4,3,3,5.15,67,3,Working,15,Weekday,Take a short break
7.55,2,4,3,1.67,32,4,Working,18,Weekday,Reduce screen time
10.13,3,4,5,3.18,30,2,Phone,13,Weekday,Maintain habits
8.06,2,4,4,3.93,47,3,Phone,17,Weekday,Maintain habits
8.01,2,3,3,2.92,64,5,Studying,12,Weekday,Maintain habits
8.4,4,2,3,4.12,3,3,Studying,18,Weekday,Take a short break
6.8,2,3,3,3.99,43,1,Exercise,14,Weekday,Connect socially
6.86,3,3,4,3.34,38,4,Relaxing,8,Weekday,Prepare for bed
6.06,4,3,1,2.57,16,2,Working,23,Weekday,Take a short break
7.55,3,5,3,5.71,7,3,Phone,20,Weekday,Take a short break
10.08,2,2,4,0.56,74,2,Exercise,13,Weekday,Connect socially
